Sea basin,Sea/waters,Beach/location,Country,Start_lat,Start_long,Litter source,% of total litter,Class,Reference
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.06552,12.43792,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.89873,12.58865,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.89994,12.59578,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.26933,12.72677,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.26953,12.73442,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.14031,12.60831,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.13886,12.60110,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.07882,12.70839,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.08748,12.70879,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.85708,12.72433,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,44.86078,12.72304,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,41.93000,19.09000,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,42.17000,18.57500,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,42.30500,18.59000,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,41.82000,18.43000,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,41.86000,18.72000,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,42.05000,18.61000,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,42.03500,18.48000,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,41.77500,18.60000,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,42.16000,18.76500,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,42.05500,18.80000,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,41.93000,19.09000,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,42.17000,18.57500,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,42.30500,18.59000,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,41.82000,18.43000,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,41.86000,18.72000,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,42.05000,18.61000,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,42.03500,18.48000,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,41.77500,18.60000,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,42.16000,18.76500,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,42.05500,18.80000,Aquaculture/fisheries,5.1,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Slovenia,45.57299,13.55923,Aquaculture/fisheries,14.3,Class 3,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Slovenia,45.58344,13.57285,Aquaculture/fisheries,14.3,Class 3,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Slovenia,45.59748,13.64722,Aquaculture/fisheries,14.3,Class 3,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Slovenia,45.59025,13.64392,Aquaculture/fisheries,14.3,Class 3,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Slovenia,45.55537,13.50924,Aquaculture/fisheries,14.3,Class 3,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Bosnia & Herzegovina,42.919351,17.608296,Aquaculture/fisheries,2.7,Class 1,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Montenegro,42.438294,18.670007,Aquaculture/fisheries,4.9,Class 1,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Slovenia,45.561947,13.714357,Aquaculture/fisheries,9.4,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Slovenia,45.493381,13.57001,Aquaculture/fisheries,9.4,Class 2,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,"Savio, Italy",Italy,44.327842,12.46546,Aquaculture,54.1,Class 4,Fortibuoni et al 2019
Mediterranean Sea,Adriatic Sea,"Rimini, Italy",Italy,44.124195,12.677895,Aquaculture,15.8,Class 4,Fortibuoni et al 2019
Mediterranean Sea,Adriatic Sea,Western Gulf of Venice,Italy,45.081104,12.517785,Aquaculture,12.5,Class 3,Fortibuoni et al 2019
Mediterranean Sea,Ionian Sea,Kerkiraikos Gulf,Greece,39.707152,19.931248,Aquaculture/fisheries,6.5,Class 2,Fortibuoni et al 2019
Mediterranean Sea,Ionian Sea,SW Corfu,Greece,39.905654,19.690021,Aquaculture/fisheries,17.2,Class 4,Fortibuoni et al 2019
Mediterranean Sea,Ionian Sea,North Corfu,Greece,39.331511,19.996513,Aquaculture/fisheries,9.6,Class 2,Fortibuoni et al 2019
Mediterranean Sea,Adriatic Sea,"Coast of Chioggia, Italy",Italy,45.208333,12.408333,Aquaculture,18.9,Class 4,Melli et al 2017
